GeneIdx,PercentGeneCovered,AverageKMerDepth
>MEG_2756|Drugs|MLS|23S_rRNA_methyltransferases|ERM,26.6242%,0.321019
>MEG_2757|Drugs|MLS|23S_rRNA_methyltransferases|ERM,15.7831%,0.157831
>MEG_2758|Drugs|MLS|23S_rRNA_methyltransferases|ERM,2.28091%,0.0228091
>MEG_2759|Drugs|MLS|23S_rRNA_methyltransferases|ERM,0.873362%,0.00960699
>MEG_275|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,3.44828%,0.0344828
>MEG_2761|Drugs|MLS|23S_rRNA_methyltransferases|ERM,2.75862%,0.0275862
>MEG_2762|Drugs|MLS|23S_rRNA_methyltransferases|ERM,1.21622%,0.0121622
>MEG_2763|Drugs|MLS|23S_rRNA_methyltransferases|ERM,4.13043%,0.0413043
>MEG_2764|Drugs|MLS|23S_rRNA_methyltransferases|ERM,33.4165%,0.34414
>MEG_2765|Drugs|MLS|23S_rRNA_methyltransferases|ERM,2.23464%,0.023743
>MEG_2766|Drugs|MLS|23S_rRNA_methyltransferases|ERM,19.6927%,0.215084
>MEG_2767|Drugs|MLS|23S_rRNA_methyltransferases|ERM,23.212%,0.313676
>MEG_2768|Drugs|MLS|23S_rRNA_methyltransferases|ERM,1.51724%,0.017931
>MEG_2769|Drugs|MLS|23S_rRNA_methyltransferases|ERM,29.5946%,0.389189
>MEG_276|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,28.4294%,0.284294
>MEG_2770|Drugs|MLS|23S_rRNA_methyltransferases|ERM,2.77008%,0.0277008
>MEG_2771|Drugs|MLS|23S_rRNA_methyltransferases|ERM,2.93296%,0.0321229
>MEG_2772|Drugs|MLS|23S_rRNA_methyltransferases|ERM,2.11346%,0.0211346
>MEG_2773|Drugs|MLS|23S_rRNA_methyltransferases|ERM,2.97974%,0.0297974
>MEG_2774|Drugs|MLS|23S_rRNA_methyltransferases|ERM30,11.8593%,0.118593
>MEG_2775|Drugs|MLS|23S_rRNA_methyltransferases|ERM32,17.4123%,0.177751
>MEG_2776|Drugs|MLS|23S_rRNA_methyltransferases|ERM32,17.4123%,0.177751
>MEG_2777|Drugs|MLS|23S_rRNA_methyltransferases|ERM37,8.39695%,0.0877863
>MEG_2778|Drugs|MLS|23S_rRNA_methyltransferases|ERM41,25.4941%,0.262846
>MEG_2779|Drugs|MLS|23S_rRNA_methyltransferases|ERM42,15.5056%,0.221348
>MEG_277|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,2.42537%,0.0242537
>MEG_2780|Drugs|MLS|23S_rRNA_methyltransferases|ERM42,15.5056%,0.221348
>MEG_2781|Drugs|MLS|23S_rRNA_methyltransferases|ERM42,15.4018%,0.219866
>MEG_2782|Drugs|MLS|23S_rRNA_methyltransferases|ERM44,30.5866%,0.402235
>MEG_2783|Drugs|MLS|23S_rRNA_methyltransferases|ERMA,10.7542%,0.127095
>MEG_2784|Drugs|MLS|23S_rRNA_methyltransferases|ERMA,21.0894%,0.255587
>MEG_2785|Drugs|MLS|23S_rRNA_methyltransferases|ERMA,10.7542%,0.127095
>MEG_2786|Drugs|MLS|23S_rRNA_methyltransferases|ERMA,25.7785%,0.276817
>MEG_2787|Drugs|MLS|23S_rRNA_methyltransferases|ERMA,6.28492%,0.0656425
>MEG_2788|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,65.097%,0.998615
>MEG_2789|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,64.5429%,0.993075
>MEG_278|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,7.20524%,0.122271
>MEG_2790|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,59.9723%,0.875346
>MEG_2791|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,59.2339%,0.837209
>MEG_2792|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,63.365%,0.934871
>MEG_2793|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,67.4515%,1.00554
>MEG_2794|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,66.8975%,1.02078
>MEG_2795|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,69.1136%,1.04294
>MEG_2796|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,68.0055%,1.03186
>MEG_2797|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,66.8975%,1.01662
>MEG_2798|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,4.58971%,0.0472879
>MEG_2799|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,64.0219%,0.967168
>MEG_279|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,29.5943%,0.295943
>MEG_27|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,55.4566%,1.00445
>MEG_2800|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,10.4928%,0.104928
>MEG_2801|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,63.2708%,0.969169
>MEG_2802|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,58.0332%,0.807479
>MEG_2803|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,66.1871%,0.989928
>MEG_2804|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,66.8975%,1.02078
>MEG_2805|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,68.0055%,1.03186
>MEG_2806|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,65.6716%,0.97829
>MEG_2807|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,65.5076%,0.994437
>MEG_2808|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,34.7705%,0.446453
>MEG_2809|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,33.936%,0.452017
>MEG_280|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,28.7379%,0.493204
>MEG_2810|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,33.6579%,0.404729
>MEG_2811|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,50.3477%,0.645341
>MEG_2812|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,46.8707%,0.606398
>MEG_2813|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,53.6857%,0.687065
>MEG_2814|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,48.5396%,0.600834
>MEG_2815|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,49.6523%,0.628651
>MEG_2816|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,50.2086%,0.64395
>MEG_2817|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,47.0097%,0.61057
>MEG_2818|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,47.5661%,0.613352
>MEG_2819|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,50.3477%,0.649513
>MEG_281|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,32.0896%,0.436567
>MEG_2820|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,47.8442%,0.620306
>MEG_2821|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,50.4868%,0.642559
>MEG_2822|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,50.904%,0.645341
>MEG_2823|Drugs|MLS|23S_rRNA_methyltransferases|ERMD,28.8915%,0.292453
>MEG_2824|Drugs|MLS|23S_rRNA_methyltransferases|ERMD,27.3585%,0.277123
>MEG_2825|Drugs|MLS|23S_rRNA_methyltransferases|ERMD,33.3726%,0.337264
>MEG_2826|Drugs|MLS|23S_rRNA_methyltransferases|ERME,0.911577%,0.00911577
>MEG_2827|Drugs|MLS|23S_rRNA_methyltransferases|ERME,0.442478%,0.00442478
>MEG_2828|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,32.7389%,0.385987
>MEG_2829|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,31.7197%,0.369427
>MEG_282|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,6.7623%,0.067623
>MEG_2830|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,34.0127%,0.398726
>MEG_2831|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,31.7197%,0.369427
>MEG_2832|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,32.2459%,0.380176
>MEG_2833|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,31.0828%,0.363057
>MEG_2834|Drugs|MLS|23S_rRNA_methyltransferases|ERMG,23.0876%,0.232267
>MEG_2835|Drugs|MLS|23S_rRNA_methyltransferases|ERMG,20.306%,0.20306
>MEG_2836|Drugs|MLS|23S_rRNA_methyltransferases|ERMG,22.8095%,0.228095
>MEG_2837|Drugs|MLS|23S_rRNA_methyltransferases|ERMH,14.5928%,0.145928
>MEG_2838|Drugs|MLS|23S_rRNA_methyltransferases|ERMN,16.0465%,0.176744
>MEG_2839|Drugs|MLS|23S_rRNA_methyltransferases|ERMO,17.1466%,0.174084
>MEG_283|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,3.33952%,0.0333952
>MEG_2840|Drugs|MLS|23S_rRNA_methyltransferases|ERMO,12.1252%,0.181226
>MEG_2841|Drugs|MLS|23S_rRNA_methyltransferases|ERMQ,8.17942%,0.0817942
>MEG_2842|Drugs|MLS|23S_rRNA_methyltransferases|ERMQ,8.0415%,0.080415
>MEG_2843|Drugs|MLS|23S_rRNA_methyltransferases|ERMR,0.397219%,0.00397219
>MEG_2844|Drugs|MLS|23S_rRNA_methyltransferases|ERMR,21.0014%,0.211405
>MEG_2845|Drugs|MLS|23S_rRNA_methyltransferases|ERMS,3.07203%,0.0317797
>MEG_2846|Drugs|MLS|23S_rRNA_methyltransferases|ERMT,28.5118%,0.367177
>MEG_2847|Drugs|MLS|23S_rRNA_methyltransferases|ERMT,41.8283%,0.556787
>MEG_2848|Drugs|MLS|23S_rRNA_methyltransferases|ERMT,12.6565%,0.127955
>MEG_2849|Drugs|MLS|23S_rRNA_methyltransferases|ERMU,18.8107%,0.188107
>MEG_284|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,52.6906%,0.73991
>MEG_2850|Drugs|MLS|23S_rRNA_methyltransferases|ERMU,20.5847%,0.205847
>MEG_2851|Drugs|MLS|23S_rRNA_methyltransferases|ERMV,21.9895%,0.232984
>MEG_2852|Drugs|MLS|23S_rRNA_methyltransferases|ERMV,21.6216%,0.229086
>MEG_2853|Drugs|MLS|23S_rRNA_methyltransferases|ERMV,13.3956%,0.141745
>MEG_2854|Drugs|MLS|23S_rRNA_methyltransferases|ERMX,42.4315%,0.499404
>MEG_2855|Drugs|MLS|23S_rRNA_methyltransferases|ERMX,44.2359%,0.52681
>MEG_2856|Drugs|MLS|23S_rRNA_methyltransferases|ERMX,32.3004%,0.394517
>MEG_2857|Drugs|MLS|23S_rRNA_methyltransferases|ERMX,42.9082%,0.504172
>MEG_2858|Drugs|MLS|23S_rRNA_methyltransferases|ERMX,43.2658%,0.507747
>MEG_2859|Drugs|MLS|23S_rRNA_methyltransferases|ERMX,40.2861%,0.47795
>MEG_285|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,2.8436%,0.028436
>MEG_2860|Drugs|MLS|23S_rRNA_methyltransferases|ERMX,35.0417%,0.423123
>MEG_2861|Drugs|MLS|23S_rRNA_methyltransferases|ERMX,42.8954%,0.513405
>MEG_2862|Drugs|betalactams|Class_A_betalactamases|ERP,4.27252%,0.0496536
>MEG_2863|Drugs|betalactams|Class_B_betalactamases|ESP,16.1027%,0.162194
>MEG_2864|Drugs|Phenicol|Chloramphenicol_hydrolase|ESTD,3.9517%,0.039517
>MEG_2865|Drugs|Phenicol|Chloramphenicol_hydrolase|ESTD,8.61505%,0.0861505
>MEG_2866|Drugs|Mycobacterium_tuberculosis-specific_Drug|Ethionamide-resistant_mutant|ETHA|RequiresSNPConfirmation,16.8501%,0.168501
>MEG_2867|Biocides|Acid_resistance|Acid_resistance_regulator|EVGA,22.0367%,0.220367
>MEG_2868|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,5.53382%,0.0556177
>MEG_2869|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,5.64561%,0.0567356
>MEG_286|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,16.4706%,0.207059
>MEG_2870|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,5.8133%,0.0584125
>MEG_2871|Drugs|betalactams|Class_B_betalactamases|EVM,4.98891%,0.0498891
>MEG_2872|Drugs|betalactams|Class_A_betalactamases|EXO,13.8859%,0.138859
>MEG_2873|Biocides|Phenolic_compound_resistance|Triclosan-resistant_mutation|FABG|RequiresSNPConfirmation,4.31154%,0.0431154
>MEG_2874|Biocides|Phenolic_compound_resistance|Phenolic_resistance_protein|FABI,16.1589%,0.161589
>MEG_2875|Biocides|Phenolic_compound_resistance|Phenolic_resistance_protein|FABI,1.68176%,0.0168176
>MEG_2876|Biocides|Phenolic_compound_resistance|Phenolic_resistance_protein|FABK,12.4088%,0.130344
>MEG_2877|Biocides|Phenolic_compound_resistance|Phenolic_resistance_protein|FABL,27.5441%,0.336499
>MEG_2878|Biocides|Phenolic_compound_resistance|Phenolic_resistance_protein|FABV,27.2624%,0.273756
>MEG_2879|Biocides|Phenolic_compound_resistance|Phenolic_resistance_protein|FABV,2.4911%,0.024911
>MEG_287|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,16.9412%,0.174118
>MEG_2880|Drugs|Elfamycins|Elfamycin_efflux_pumps|FACT,7.51202%,0.0751202
>MEG_2881|Drugs|betalactams|Class_A_betalactamases|FAR1,14.831%,0.14831
>MEG_2882|Drugs|betalactams|Class_A_betalactamases|FAR1,15.4897%,0.154897
>MEG_2883|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FARA,8.63986%,0.0863986
>MEG_2884|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FARA,12.7305%,0.127305
>MEG_2885|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FARB,3.11671%,0.0311671
>MEG_2886|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FARB,4.43415%,0.0443415
>MEG_2887|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|FARR,7.05882%,0.0705882
>MEG_2888|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FBPA,13.0214%,0.130214
>MEG_2889|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FBPB,16.5449%,0.1701
>MEG_288|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,14.1176%,0.181176
>MEG_2890|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FBPB,13.3001%,0.13798
>MEG_2891|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FBPC,5.97156%,0.0597156
>MEG_2892|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FBPC,4.90385%,0.0490385
>MEG_2893|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FECD,20.1913%,0.201913
>MEG_2894|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FECD,19.0223%,0.190223
>MEG_2895|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FECD,19.0223%,0.190223
>MEG_2896|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FECE,24.0691%,0.256649
>MEG_2897|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FECE,23.5372%,0.25133
>MEG_2898|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|FETA,6.64653%,0.0664653
>MEG_2899|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|FETB,16.182%,0.166877
>MEG_289|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,18.3529%,0.183529
>MEG_28|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,57.9065%,1.00668
>MEG_2900|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|FETB,13.2199%,0.137435
>MEG_2901|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FEXA,21.3881%,0.270538
>MEG_2902|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FEXA,21.3173%,0.26983
>MEG_2903|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FEXA,21.3173%,0.26983
>MEG_2904|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FEXA,21.3881%,0.270538
>MEG_2905|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FEXA,21.193%,0.26807
>MEG_2906|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FEXB,1.07604%,0.0107604
>MEG_2907|Drugs|betalactams|Class_B_betalactamases|FEZ,0.960384%,0.00960384
>MEG_2908|Drugs|betalactams|Class_B_betalactamases|FIA,4.22343%,0.0422343
>MEG_2909|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|FIEF,14.4307%,0.146561
>MEG_290|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,36.4706%,0.430588
>MEG_2910|Drugs|betalactams|Class_B_betalactamases|FIM,26.5201%,0.329884
>MEG_2911|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,54.3786%,0.922435
>MEG_2912|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,5.58799%,0.0909091
>MEG_2913|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,48.9575%,0.814846
>MEG_2914|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,53.1276%,0.907423
>MEG_2915|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,56.4637%,0.958299
>MEG_2916|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,56.1301%,0.934946
>MEG_2917|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,57.2143%,0.974979
>MEG_2918|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,55.7965%,0.921601
>MEG_2919|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,54.7957%,0.910759
>MEG_291|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,8.70588%,0.0964706
>MEG_2920|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,55.7965%,0.955796
>MEG_2921|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,55.7965%,0.923269
>MEG_2922|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,57.0475%,0.967473
>MEG_2923|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,57.2143%,0.974979
>MEG_2924|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,56.3803%,0.945788
>MEG_2925|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,56.3803%,0.945788
>MEG_2926|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,52.2936%,0.901585
>MEG_2927|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,57.0475%,0.924103
>MEG_2928|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,57.2143%,0.974979
>MEG_2929|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,53.2913%,0.92606
>MEG_292|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,28.7059%,0.456471
>MEG_2930|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,42.5497%,0.639901
>MEG_2931|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,34.5288%,0.520434
>MEG_2932|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|FMRO,15.759%,0.15759
>MEG_2933|Drugs|Mycobacterium_tuberculosis-specific_Drug|Para-aminosalicylic_acid_resistant_mutant|FOLC|RequiresSNPConfirmation,9.73757%,0.0973757
>MEG_2934|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,15.1592%,0.151592
>MEG_2935|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,14.8987%,0.148987
>MEG_2936|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,18.6104%,0.186104
>MEG_2937|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0.354925%,0.00354925
>MEG_2938|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,23.6842%,0.238038
>MEG_2939|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,15.3567%,0.176542
>MEG_293|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,86.0738%,4.0755
>MEG_2940|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0.59727%,0.0059727
>MEG_2941|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,1.89732%,0.0189732
>MEG_2942|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,8.11856%,0.0811856
>MEG_2943|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,15.6977%,0.160465
>MEG_2944|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,3.33717%,0.0414269
>MEG_2945|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,36.802%,0.606599
>MEG_2946|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,15.4776%,0.154776
>MEG_2947|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,11.81%,0.121951
>MEG_2948|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,19.0876%,0.2509
>MEG_2949|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,34.5178%,0.541878
>MEG_294|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,40.8582%,0.498134
>MEG_2950|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,31.9797%,0.488579
>MEG_2951|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,40.736%,0.633249
>MEG_2952|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,4.92197%,0.0612245
>MEG_2953|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,14.0143%,0.152019
>MEG_2954|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,56.3107%,0.899272
>MEG_2955|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,37.9271%,0.45672
>MEG_2956|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,34.0102%,0.56599
>MEG_2957|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,1.35135%,0.0135135
>MEG_2958|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,2.03349%,0.0203349
>MEG_2959|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,37.6951%,0.458583
>MEG_295|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,71.9731%,1.02018
>MEG_2960|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,1.06477%,0.0106477
>MEG_2961|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,23.3254%,0.23445
>MEG_2962|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,35.4061%,0.59264
>MEG_2964|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,61.2514%,1.08123
>MEG_2965|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,4.474%,0.04474
>MEG_2966|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,19.0876%,0.2509
>MEG_2967|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,3.20665%,0.0320665
>MEG_2968|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,35.4061%,0.59264
>MEG_2969|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,1.62514%,0.0162514
>MEG_296|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,2.8436%,0.028436
>MEG_2970|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,4.35866%,0.0435866
>MEG_2971|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,4.23216%,0.0423216
>MEG_2972|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,39.2557%,0.47419
>MEG_2973|Drugs|Fosfomycin|Fosfomycin_phosphorylation|FOMA,15.9236%,0.16051
>MEG_2974|Drugs|Fosfomycin|Fosfomycin_phosphorylation|FOMB,28.8639%,0.29478
>MEG_2975|Drugs|Fosfomycin|Fosfomycin_phosphorylation|FOMB,29.2531%,0.298755
>MEG_2976|Drugs|betalactams|Class_A_betalactamases|FONA,22.2477%,0.25344
>MEG_2977|Drugs|betalactams|Class_A_betalactamases|FONA,18.6927%,0.215596
>MEG_2978|Drugs|betalactams|Class_A_betalactamases|FONA,14.1055%,0.15711
>MEG_2979|Drugs|betalactams|Class_A_betalactamases|FONA,22.3624%,0.255734
>MEG_297|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,54.0636%,0.90106
>MEG_2980|Drugs|betalactams|Class_A_betalactamases|FONA,24.3119%,0.284404
>MEG_2981|Drugs|betalactams|Class_A_betalactamases|FONA,20.4128%,0.241972
